month,year,plot,survey_date,fungicide,plant,leaf,damage,anthracnose,crown_rust,brown_patch,smut,gls,rrust,sclerotinia,tml,mining,mech,chlo,scrape
May,2017,plotID_3,5/24/2017,9-months,3,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,3,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,4,1,D,1,0,0,0,0,0,0,0,0,0,0,1
May,2017,plotID_3,5/24/2017,9-months,4,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,4,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,5,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,5,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,6,1,D,1,0,0,0,0,0,0,0,0,0,0,1
May,2017,plotID_3,5/24/2017,9-months,6,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,7,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,7,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,8,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,8,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,9,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,9,2,D,1,0,0,0,0,0,0,0,0,0,0,1
May,2017,plotID_3,5/24/2017,9-months,10,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,10,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,11,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,11,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,12,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,12,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,13,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,13,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,14,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,14,2,D,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,15,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,15,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,16,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,16,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,17,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,17,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,18,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,18,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,19,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,19,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,20,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_3,5/24/2017,9-months,20,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,1,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,1,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,2,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,2,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,3,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,3,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,4,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,4,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,5,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,5,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,6,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,6,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,7,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,7,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,8,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,8,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,9,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,9,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,10,1,D,1,0,0,0,0,0,0,0,0,0,0,0
